iter	MultiClass	Accuracy
425	1.191835137	0.6112
426	1.191114438	0.6110666667
427	1.190795288	0.6113333333
428	1.190199217	0.6114
429	1.189433974	0.612
430	1.188852648	0.6124666667
431	1.188136335	0.6120666667
432	1.187457273	0.6123333333
433	1.186824655	0.6122666667
434	1.186599885	0.6122666667
435	1.186213563	0.6128666667
436	1.18539434	0.6132
437	1.184506401	0.6131333333
438	1.183822958	0.6132
439	1.183190057	0.6131333333
440	1.182480504	0.6135333333
441	1.181577608	0.6140666667
442	1.18112907	0.6146
443	1.180320545	0.6150666667
444	1.179258597	0.6150666667
445	1.178578758	0.6156
446	1.177604037	0.6164
447	1.176651787	0.6172
448	1.17618626	0.6170666667
449	1.175875209	0.6174
450	1.175120574	0.6179333333
451	1.174358154	0.6178666667
452	1.174037504	0.6178666667
453	1.173608675	0.6177333333
454	1.1728722	0.6184666667
455	1.17247655	0.6184666667
456	1.171883898	0.6186
457	1.171492724	0.6189333333
458	1.170881539	0.6196
459	1.17029286	0.6196666667
460	1.16966471	0.6195333333
461	1.168878111	0.6195333333
462	1.168412808	0.6201333333
463	1.167521733	0.6204
464	1.16677288	0.6209333333
465	1.166321508	0.621
466	1.166004505	0.6213333333
467	1.16559055	0.6218
468	1.16527676	0.6216666667
469	1.164309749	0.6216
470	1.16393918	0.6215333333
471	1.163693263	0.6217333333
472	1.163220387	0.6218666667
473	1.162466213	0.6226
474	1.162126175	0.6229333333
475	1.16172539	0.6230666667
476	1.16076758	0.6232666667
477	1.160288687	0.6228666667
478	1.159815267	0.6226666667
479	1.159100428	0.623
480	1.158344876	0.6239333333
481	1.157747846	0.6242666667
482	1.157321996	0.6240666667
483	1.156592491	0.6245333333
484	1.156261348	0.6248
485	1.155634331	0.6248666667
486	1.155159768	0.6251333333
487	1.154647331	0.6251333333
488	1.153615019	0.6252666667
489	1.152769944	0.6257333333
490	1.152005444	0.6262666667
491	1.151236522	0.6268666667
492	1.150847893	0.6265333333
493	1.1501924	0.6266666667
494	1.149198564	0.6270666667
495	1.148536835	0.6272666667
496	1.147942799	0.6278666667
497	1.147428387	0.6281333333
498	1.147078776	0.6281333333
499	1.146670652	0.6285333333
500	1.145727467	0.6293333333
501	1.145060399	0.6295333333
502	1.144372692	0.6298666667
503	1.14364899	0.6305333333
504	1.143039964	0.6304
505	1.142371112	0.6298
506	1.141657558	0.6303333333
507	1.141156614	0.6304666667
508	1.140471751	0.6308666667
509	1.139467583	0.6317333333
510	1.138702983	0.6314666667
511	1.138185812	0.6316666667
512	1.13763165	0.6318
513	1.136890514	0.6326
514	1.13597651	0.6332
515	1.135458019	0.6337333333
516	1.135020466	0.6342666667
517	1.134568134	0.6348
518	1.133689056	0.6343333333
519	1.132883098	0.6356
520	1.132133678	0.6354666667
521	1.131535356	0.635
522	1.130740022	0.6358666667
523	1.130024266	0.6357333333
524	1.12976471	0.6354666667
525	1.12934293	0.6354666667
526	1.129028494	0.6352666667
527	1.128300227	0.6349333333
528	1.128075105	0.6347333333
529	1.127566337	0.6347333333
530	1.126844616	0.6354
531	1.126558453	0.6358
532	1.126091291	0.6361333333
533	1.125250033	0.6359333333
534	1.124642643	0.6361333333
535	1.124067568	0.6368
536	1.123351683	0.6368
537	1.122852138	0.6368
538	1.122311325	0.6372
539	1.12159793	0.6372666667
540	1.121045654	0.6378
541	1.120468836	0.6385333333
542	1.119722618	0.6394666667
543	1.119259423	0.6395333333
544	1.118936687	0.6397333333
545	1.118129523	0.6397333333
546	1.117282735	0.6403333333
547	1.116695654	0.6403333333
548	1.116249887	0.6406
549	1.1157162	0.6412
550	1.115314218	0.6410666667
551	1.11463468	0.6418
552	1.114287137	0.6420666667
553	1.113623989	0.6421333333
554	1.112948521	0.6424
555	1.112530165	0.6428666667
556	1.11201254	0.6430666667
557	1.111186736	0.6427333333
558	1.110551547	0.6432666667
559	1.109968585	0.6436666667
560	1.109478357	0.6441333333
561	1.109062175	0.6437333333
562	1.108193219	0.6438666667
563	1.10753544	0.6446
564	1.106779275	0.6447333333
565	1.106013303	0.6454666667
566	1.105557231	0.6452666667
567	1.10542024	0.645
568	1.104713074	0.6457333333
569	1.103792319	0.6460666667
570	1.102990265	0.6456
571	1.10238822	0.6454
572	1.101689086	0.6463333333
573	1.100836185	0.6472666667
574	1.100395232	0.6471333333
575	1.099784309	0.6471333333
576	1.099195757	0.6469333333
577	1.098883611	0.647
578	1.098198448	0.6468666667
579	1.097535603	0.647
580	1.096974292	0.648
581	1.096626395	0.6475333333
582	1.095837899	0.6479333333
583	1.095203952	0.6485333333
584	1.094386257	0.6484
585	1.093797625	0.6488666667
586	1.093220919	0.6490666667
587	1.092894799	0.6493333333
588	1.092495457	0.6494
589	1.092164607	0.6496
590	1.091484757	0.6500666667
591	1.090899339	0.65
592	1.09019548	0.6502
593	1.089608399	0.6504
594	1.089389036	0.6504666667
595	1.088910795	0.6504
596	1.088415182	0.6508666667
597	1.08765536	0.6517333333
598	1.087108908	0.6516
599	1.086516925	0.6520666667
600	1.085781306	0.6527333333
601	1.085260037	0.6528
602	1.084866051	0.6528
603	1.084236429	0.6534666667
604	1.083448643	0.6548
605	1.083074334	0.6552666667
606	1.082372415	0.6552
607	1.081985158	0.6548666667
608	1.081521268	0.6548666667
609	1.081143855	0.6548
610	1.08043103	0.6552666667
611	1.079655779	0.6556
612	1.079234043	0.6558
613	1.078531024	0.6560666667
614	1.078017702	0.6564
615	1.077454605	0.6566
616	1.07714802	0.6568
617	1.076661362	0.6569333333
618	1.075926903	0.6582
619	1.075301025	0.6577333333
620	1.074925997	0.6578666667
621	1.074333895	0.6578666667
622	1.073654567	0.6575333333
623	1.07293029	0.6586
624	1.072457383	0.6586
625	1.071651697	0.6596666667
626	1.070804504	0.6602666667
627	1.070301383	0.6604
628	1.069937718	0.6600666667
629	1.069654153	0.6606
630	1.069235617	0.6608666667
631	1.068581446	0.661
632	1.068195856	0.6612
633	1.067544614	0.662
634	1.06693131	0.6619333333
635	1.066383467	0.6612666667
636	1.066116698	0.6615333333
637	1.065743731	0.6618666667
638	1.065343764	0.6618666667
639	1.064981544	0.6618666667
640	1.064600152	0.6619333333
641	1.063997221	0.6622
642	1.063412619	0.6626
643	1.062977354	0.6624666667
644	1.062559917	0.6626
645	1.062031462	0.6623333333
646	1.061594518	0.6624
647	1.060894116	0.6641333333
648	1.060225849	0.6640666667
649	1.059428237	0.664
650	1.058706736	0.6645333333
651	1.058223914	0.6646666667
652	1.057747766	0.6648666667
653	1.057193259	0.6658
654	1.056561948	0.6660666667
655	1.056072807	0.6664
656	1.055668555	0.6666
657	1.055236134	0.6667333333
658	1.054741183	0.6670666667
659	1.054509015	0.6674
660	1.054151987	0.6674
661	1.053539393	0.6679333333
662	1.053076027	0.6678666667
663	1.052461899	0.6682
664	1.052105342	0.6687333333
665	1.051751631	0.6684
666	1.051407079	0.6682
667	1.051202138	0.6687333333
668	1.050406603	0.6688666667
669	1.05001336	0.6686666667
670	1.049439027	0.6692
671	1.049126695	0.6693333333
672	1.048760922	0.6697333333
673	1.048410565	0.6699333333
674	1.04772005	0.6697333333
675	1.047305696	0.6696666667
676	1.046860567	0.6700666667
677	1.046514543	0.6706666667
678	1.046077635	0.6712666667
679	1.045424148	0.671
680	1.044972082	0.6707333333
681	1.044659643	0.6711333333
682	1.043979411	0.6714666667
683	1.043639887	0.6718666667
684	1.043410657	0.6718
685	1.042959783	0.6721333333
686	1.042518658	0.6724
687	1.04175243	0.6723333333
688	1.041071567	0.6727333333
689	1.040477511	0.6732666667
690	1.040240972	0.6734666667
691	1.039476719	0.6736
692	1.038994265	0.6736
693	1.038477697	0.6737333333
694	1.038094794	0.6741333333
695	1.037431397	0.6748
696	1.037018297	0.6748666667
697	1.036492116	0.6749333333
698	1.035889957	0.6755333333
699	1.035045273	0.6758666667
700	1.034445193	0.676
701	1.033933188	0.6762666667
702	1.033389711	0.6766
703	1.032755416	0.677
704	1.032007547	0.6775333333
705	1.031509065	0.6777333333
706	1.031025052	0.6775333333
707	1.030267386	0.6772666667
708	1.029812823	0.6775333333
709	1.029348536	0.6781333333
710	1.028674905	0.6786666667
711	1.028473195	0.6788
712	1.027966029	0.6793333333
713	1.02774907	0.6796666667
714	1.027496951	0.6794666667
715	1.027289949	0.6793333333
716	1.026883008	0.6794
717	1.026343798	0.6798
718	1.025724498	0.6796666667
719	1.025030526	0.6798666667
720	1.024625993	0.6802
721	1.024047185	0.6805333333
722	1.023492844	0.6809333333
723	1.023132804	0.6811333333
724	1.022587709	0.6815333333
725	1.022117213	0.681
726	1.021669244	0.6815333333
727	1.021279601	0.6811333333
728	1.020821682	0.6813333333
729	1.019955817	0.6822666667
730	1.019751374	0.682
731	1.019415638	0.6821333333
732	1.018755712	0.6824
733	1.018311656	0.6826666667
734	1.017849768	0.6828666667
735	1.017670604	0.6831333333
736	1.017036997	0.6832
737	1.016470582	0.6828666667
738	1.016058396	0.6827333333
739	1.01559657	0.6832
740	1.014980785	0.6826666667
741	1.014569332	0.6829333333
742	1.014192225	0.6830666667
743	1.013760016	0.6830666667
744	1.013280338	0.6831333333
745	1.012765065	0.6838
746	1.012370154	0.6845333333
747	1.01186757	0.6843333333
748	1.011578469	0.6843333333
749	1.010975905	0.6854666667
750	1.010431637	0.6846666667
751	1.00986761	0.6846666667
752	1.009312641	0.6852
753	1.008824905	0.6855333333
754	1.008527153	0.6858666667
755	1.008252211	0.6862
756	1.008081177	0.6861333333
757	1.007627522	0.6862
758	1.007280702	0.6867333333
759	1.006706013	0.6869333333
760	1.006172931	0.6874
761	1.005688397	0.6875333333
762	1.005210546	0.6876666667
763	1.004582769	0.6878666667
764	1.004004441	0.6884666667
765	1.003292188	0.6892
766	1.002964527	0.6896666667
767	1.002289878	0.6898
768	1.001849908	0.6899333333
769	1.001339497	0.69
770	1.000982566	0.6898
771	1.000665158	0.69
772	1.000438779	0.6898666667
773	1.000022583	0.6902666667
774	0.9996054847	0.6904
775	0.9990218275	0.6906
776	0.9986668862	0.6906
777	0.9982808193	0.6909333333
778	0.9979311324	0.691
779	0.9973874686	0.6912666667
780	0.9968692722	0.6916
781	0.9962948705	0.6914
782	0.9959246871	0.6917333333
783	0.9954554503	0.6917333333
784	0.9950331971	0.6917333333
785	0.9946490499	0.6920666667
786	0.9943118447	0.692
787	0.9938418347	0.692
788	0.993343419	0.6920666667
789	0.9930553975	0.692
790	0.9927316878	0.6922
791	0.9920528837	0.6931333333
792	0.9914592939	0.6931333333
793	0.9910163196	0.6929333333
794	0.9906108279	0.693
795	0.9902534985	0.6937333333
796	0.9897812269	0.6937333333
797	0.9893796585	0.6940666667
798	0.9889469495	0.6941333333
799	0.9886317796	0.6942
800	0.988087483	0.6942
801	0.987708194	0.6944666667
802	0.9873699855	0.6947333333
803	0.9868001976	0.695
804	0.9864298056	0.695
805	0.9861090428	0.6952666667
806	0.9856347321	0.6956666667
807	0.9851126045	0.6962
808	0.9845123172	0.6966
809	0.9839893915	0.6967333333
810	0.9836910973	0.6970666667
811	0.9832669524	0.6966
812	0.9831325391	0.6969333333
813	0.9827545184	0.6972666667
